monday,tuesday,wednesday,thursday,friday,saturday,sunday,hour,min,date,battery,wifi,bluetooth,data,wifi_connected,wifi_scanning,bluetoothDiscovery,airplane_on_off,system_volumen,dtmf_volumen,music_volumen,dtmf_volumen,ringermode_normal,ringermode_silent,ringermode_vibrate,battery_temp,battery_volt,disconected,ac,usb,screen_brightness,screen_automatic_mode,screen_on,cores,maxfreq,minfreq,mem_free
0,0,0,0,0,1,0,21,3,2013-11-16T21:03:17.752+0100,65,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,22,0,2013-11-16T22:00:14.047+0100,95,1,0,0,0,1,0,0,0,9,7,2,1,0,0,238,4335,0,1,0,27,0,0,4,1600000,200000,78964
0,0,0,0,0,1,0,23,0,2013-11-16T23:00:29.958+0100,99,1,0,0,0,1,0,0,0,9,7,2,1,0,0,228,4255,1,0,0,27,0,0,4,1600000,200000,78964
0,0,0,0,0,0,1,0,0,2013-11-17T00:00:45.044+0100,96,1,0,0,0,1,0,0,0,9,7,2,1,0,0,243,4219,1,0,0,27,0,1,4,1600000,200000,78964
0,0,0,0,0,0,1,1,0,2013-11-17T01:00:55.924+0100,92,1,0,0,0,1,0,0,0,9,7,2,1,0,0,216,4163,1,0,0,27,0,0,4,1600000,200000,78964
0,0,0,0,0,0,1,2,0,2013-11-17T02:00:00.428+0100,88,1,0,0,0,1,0,0,0,9,7,2,1,0,0,261,4128,1,0,0,27,0,1,4,1600000,200000,78964
0,0,0,0,0,0,1,3,1,2013-11-17T03:01:22.329+0100,85,1,0,0,0,1,0,0,0,9,7,2,1,0,0,211,4092,1,0,0,27,0,1,4,1600000,200000,78964
0,0,0,0,0,0,1,4,0,2013-11-17T04:00:56.250+0100,82,1,0,0,0,1,0,0,0,9,7,2,1,0,0,208,4062,1,0,0,27,0,1,4,1600000,200000,78964
0,0,0,0,0,0,1,5,0,2013-11-17T05:00:17.081+0100,77,1,0,0,0,1,0,0,0,9,7,2,1,0,0,288,4011,1,0,0,27,0,1,4,1600000,200000,78964
0,0,0,0,0,0,1,6,1,2013-11-17T06:01:58.388+0100,68,1,0,0,0,1,0,0,0,9,7,2,1,0,0,233,3948,1,0,0,27,0,0,4,1600000,200000,78964
0,0,0,0,0,0,1,7,0,2013-11-17T07:00:25.608+0100,64,1,0,0,0,1,0,0,0,9,7,2,1,0,0,295,3907,1,0,0,27,0,1,4,1600000,200000,78964
0,0,0,0,0,0,1,8,0,2013-11-17T08:00:25.414+0100,59,1,0,0,0,1,0,0,0,9,7,2,1,0,0,207,3866,1,0,0,27,0,1,4,1600000,200000,78964
0,0,0,0,0,0,1,9,2,2013-11-17T09:02:31.443+0100,93,1,0,0,0,1,0,0,0,9,7,2,1,0,0,215,4336,0,1,0,27,0,0,4,1600000,200000,78964
0,0,0,0,0,0,1,10,0,2013-11-17T10:00:18.109+0100,97,1,0,0,0,1,0,0,0,9,7,2,1,0,0,241,4211,1,0,0,27,0,1,4,1600000,200000,78964
0,0,0,0,0,0,1,11,0,2013-11-17T11:00:26.519+0100,86,1,0,0,0,1,0,0,7,13,3,2,1,0,0,297,4092,1,0,0,27,0,1,4,1600000,200000,78964
0,0,0,0,0,0,1,12,2,2013-11-17T12:02:50.392+0100,79,1,0,0,0,1,0,0,0,9,7,2,1,0,0,261,4040,1,0,0,27,0,0,4,1600000,200000,78964
0,0,0,0,0,0,1,13,3,2013-11-17T13:03:02.262+0100,78,1,0,0,0,1,0,0,0,9,7,2,1,0,0,218,4021,1,0,0,27,0,0,4,1600000,200000,78964
0,0,0,0,0,0,1,14,0,2013-11-17T14:00:35.780+0100,71,1,0,0,0,1,0,0,0,9,7,2,1,0,0,313,3933,1,0,0,27,0,1,4,1600000,200000,78964
0,0,0,0,0,0,1,15,0,2013-11-17T15:00:27.419+0100,65,1,0,0,0,1,0,0,0,9,7,2,1,0,0,309,3831,1,0,0,27,0,1,4,1600000,200000,78964
0,0,0,0,0,0,1,16,0,2013-11-17T16:00:30.422+0100,56,1,0,0,0,1,0,0,0,9,7,2,1,0,0,266,3835,1,0,0,27,0,0,4,1600000,200000,78964
0,0,0,0,0,0,1,17,3,2013-11-17T17:03:18.272+0100,52,1,0,0,0,1,0,0,0,9,7,2,1,0,0,216,3805,1,0,0,27,0,0,4,1600000,200000,78964
0,0,0,0,0,0,1,18,3,2013-11-17T18:03:18.234+0100,49,1,0,0,0,1,0,0,0,9,7,2,1,0,0,212,3794,1,0,0,27,0,0,4,1600000,200000,78964
